Date   | Hour  | User  | Regex/IE PLB  | Generate IO PLB   | Debug MTPL file used
ww2p3|13:27:01|nmzuniga|scn_c_inf_f1_vmaxinf_sEs_edt_IEsoc2_tatpg_list|ww02p3_sSs_edt_soc2_trans_list.plist|scan_uncore_class_xdcc_debug.plist
ww2p4|13:31:11|nmzuniga|IEddrmc|ww02p4_sEs_edt_DDRMC_a0_trans_list.plist|scan_uncore_class_xdccap.plist
ww2p4|17:38:46|nmzuniga|soc2|ww02p4_sEs_edt_SOC2_a0_trans_list.plist|scan_uncore_class_xdccap.plist
ww2p5|10:06:26|nmzuniga|IEsoc2|ww02p4_sEs_edt_SOC2_a0_stuckat_list.plist|scan_uncore_class_xdccap.plist
ww2p5|11:40:50|nmzuniga|scn_c_ddrd_x_begin_|ww02p5_sEs_edt_DDRIO_a0_stuckat_list.plist|scan_uncore_class_xdccap.plist
ww3p3|15:19:43|nmzuniga|scn_c_ddrd_x_begin_sSs_edt_ddrio_atpg_list|ww03p3_sSs_DDRIO_stuckat_chain_list.plist|scan_uncore_class_xdcc_debug.plist
ww5p1|16:32:56|aretanab|soc2|spk_io_tatpg.plist|scan_uncore_class_xdcc_debug.plist
ww5p2|16:08:34|nmzuniga|scn_c_ddrd_f1_begin_sSs_edt_ddrmc_|ww05p2_sSs_DDRMC_trans_list.plist|scan_uncore_class_xdcc_debug.plist
ww5p3|11:32:51|nmzuniga|scn_c_inf_f1_srhinf_sEs_edt_IEtopinfra_tatpg_list|ww05p3_sSs_hinfratop_trans_list_check.plist|scan_uncore_class_xdccap.plist
ww5p3|14:53:34|aretanab|scn_c_cfc_x_begin_sSs_edt_cpuallnor_atpg_repair_list|cpuallnor_atpg.plist|scan_uncore_class_xdcc_debug.plist
ww6p2|13:32:45|lmarinbe|dkt*_sSs_edt_awt_core*_*mclk_tatpg|debug_try0.plist|scan_core_class_xdcc_debug.plist
ww6p2|13:47:25|lmarinbe|#|debug_try1.plist|scan_core_class_xdccap.plist
ww6p2|13:48:45|lmarinbe|#|debug_try2.plist|scan_core_class_xdccap.plist
ww7p1|09:29:31|lmarinbe|chkcore*_awt_core*3mclk*tatpg|newTimingEnabled.plist|scan_core_class_xdccap.plist
ww7p2|10:29:18|lmarinbe|awt_core*_3mclk_tatpg|newTimingAwareIO.plist|scan_core_class_xdcc_debug.plist
ww9p1|16:23:41|mnavarro|scn_c_cfc_x_begin_sEs_edt_IEcpuall_atpg_list|test_plist_debug.plist|scan_uncore_class_xdcc_debug.plist
ww10p4|14:25:35|lmarinbe|20fg_sSs*_awt_core*_3mclk_tatpg_list|cwt_sSs_timingAware.plist|scan_core_sort_top_hvm.plist
ww11p3|16:47:10|mnavarro|ddriohipb*_atpg|ddrio_atpg_IO.plist|scan_uncore_class_xdcc_debug.plist
ww11p3|17:01:14|mnavarro|ddriohipb*_ca1tf|ddrio_ca1tf_IO.plist|scan_uncore_class_xdcc_debug.plist
ww11p3|17:30:20|mnavarro|ddriohipb*_tatpg|ddrio_tatpg_IO.plist|scan_uncore_class_xdcc_debug.plist
ww11p4|11:52:02|mnavarro|cpuallnor*repair|cpuallnor_rep_atpg_IO.plist|scan_uncore_class_xdcc_debug.plist
ww12p1|14:18:32|mnavarro|ddimb*tatpg|ddimb_tatpg_topOFF_debug.plist|scan_uncore_class_xdcc_debug.plist
ww16p5|13:59:19|mnavarro|ddrfmbb0*tatpg|ddrfmbb0.plist|scan_uncore_class_xdcc_debug.plist
ww16p5|16:57:42|lmarinbe|inf*atpg*ph3|scan_uncore_class_xdccap_debug.plist|scan_uncore_class_xdccap.plist
ww16p5|17:00:26|lmarinbe|cfc*chk*cpuallnor*tatpg*ph1|scan_uncore_class_xdccap_debug.plist|scan_uncore_class_xdccap.plist
ww16p5|17:17:24|lmarinbe|dkt*f1*_awt*core*5mclk*tatpg_list|scan_core_class_xdccap_debug.plist|scan_core_class_xdccap.plist
ww16p5|17:23:28|lmarinbe|dkt*f1*chk*_awt*core*5mclk*tatpg_list|scan_core_class_xdccap_debug.plist|scan_core_class_xdccap.plist
ww16p5|17:31:40|lmarinbe|ddrd_x_begin_sSs_edt_ddrmcs0c0|scan_uncore_class_xdcc_debug_debug.plist|scan_uncore_class_xdcc_debug.plist
ww17p1|16:31:10|lmarinbe|lttc*ddrmc*tatpg*ph2|scan_uncore_class_xdccap_debug.plist|scan_uncore_class_xdccap.plist
ww17p1|16:33:33|lmarinbe|lttc*ddrmc*tatpg*ph2|scan_uncore_class_xdccap_debug.plist|scan_uncore_class_xdccap.plist
ww17p1|17:20:58|lmarinbe|*f1*lttc*ddrmc*tatpg*|scan_uncore_class_xdccap_debug.plist|scan_uncore_class_xdccap.plist
ww17p1|17:25:53|lmarinbe|*inf*ddimbc4r0*atpg*ph2*|scan_uncore_class_xdcc_debug_debug.plist|scan_uncore_class_xdcc_debug.plist
ww17p1|17:31:00|lmarinbe|*inf*ddimbc4r0*atpg*|scan_uncore_class_xdcc_debug_debug.plist|scan_uncore_class_xdcc_debug.plist
ww17p2|17:34:43|lmarinbe|*inf*ddimbc4r0*atpg*|scan_uncore_class_xdcc_debug_debug.plist|scan_uncore_class_xdcc_debug.plist
ww17p2|17:48:51|lmarinbe|*inf*ddimbc4r0*atpg*|scan_uncore_class_xdcc_ddimbc4r0_atpg_debug.plist|scan_uncore_class_xdcc_debug.plist
